sector,age,gender,origin_region,italian_region,years_in_italy,italian_language_level,weekly_work_hours,knows_stp_rights,has_used_stp,er_only_healthcare,workplace_injury_12m,unmet_healthcare_need,fear_of_deportation
Agriculture,30,Female,Sub-Saharan Africa,Veneto,2.3,Intermediate,59,0,0,0,0,1,1
Construction,24,Male,Sub-Saharan Africa,Lazio,3.1,None,50,0,0,1,1,0,1
Hospitality,40,Male,South Asia,Lombardia,2.4,Basic,62,0,0,1,0,0,1
Agriculture,31,Female,Sub-Saharan Africa,Sicilia,3.3,Intermediate,62,0,0,1,0,0,0
Logistics,18,Male,North Africa,Campania,2.5,None,72,0,0,1,0,1,0
Agriculture,38,Male,North Africa,Campania,0.5,Basic,58,0,0,1,0,1,1
Agriculture,27,Male,Sub-Saharan Africa,Lombardia,8.5,Intermediate,59,1,1,1,1,0,1
Gig Economy,31,Female,Eastern Europe,Veneto,2.4,Basic,59,0,0,1,0,1,1
Hospitality,34,Female,Southeast Asia,Veneto,3.6,Basic,54,0,0,1,0,0,1
Construction,33,Female,Latin America,Veneto,0.6,None,66,0,0,1,1,1,1
Logistics,37,Male,Sub-Saharan Africa,Toscana,0.5,Basic,62,0,0,0,0,1,1
Hospitality,28,Female,Eastern Europe,Lombardia,1.1,Intermediate,36,1,0,0,1,1,1
Hospitality,36,Female,South Asia,Lazio,4.9,Basic,64,0,0,0,0,0,1
Gig Economy,29,Female,South Asia,Piemonte,0.5,None,57,0,0,1,0,1,1
Agriculture,37,Male,Sub-Saharan Africa,Puglia,9.6,None,67,0,0,1,0,1,1
Hospitality,36,Female,Latin America,Lombardia,1.0,None,39,0,0,1,1,1,1
Gig Economy,24,Female,Sub-Saharan Africa,Veneto,0.9,Basic,44,1,0,1,1,1,1
Hospitality,40,Male,South Asia,Lazio,0.8,None,50,0,0,1,0,1,1
Agriculture,27,Male,South Asia,Lombardia,0.5,None,53,0,0,1,0,1,1
Hospitality,38,Female,Southeast Asia,Lazio,5.9,Intermediate,68,0,0,0,0,0,1
Agriculture,34,Male,Eastern Europe,Lombardia,8.3,Basic,59,0,0,1,1,0,1
Logistics,46,Female,Sub-Saharan Africa,Toscana,3.8,Intermediate,57,0,0,0,0,0,0
Domestic Work,30,Female,North Africa,Veneto,0.8,Basic,52,0,0,1,0,0,1
Hospitality,29,Female,North Africa,Lombardia,1.3,None,59,0,0,1,0,0,1
Logistics,31,Male,Eastern Europe,Lombardia,2.6,Intermediate,31,1,1,1,0,0,1
Hospitality,29,Male,Sub-Saharan Africa,Piemonte,12.3,Fluent,49,1,1,0,0,1,1
Domestic Work,38,Female,Southeast Asia,Lombardia,1.1,Basic,36,0,0,0,0,1,1
Domestic Work,19,Male,Sub-Saharan Africa,Emilia-Romagna,5.3,Basic,51,1,0,1,0,1,1
Logistics,23,Female,Eastern Europe,Lazio,2.3,Basic,55,0,0,1,0,1,0
Agriculture,23,Male,South Asia,Emilia-Romagna,1.4,Fluent,60,0,0,1,0,0,1
Construction,39,Male,Sub-Saharan Africa,Lazio,2.4,Basic,38,0,0,1,0,0,1
Gig Economy,45,Male,Sub-Saharan Africa,Lombardia,0.5,None,47,0,0,1,0,1,1
Gig Economy,31,Male,North Africa,Lazio,6.4,Intermediate,58,0,0,1,1,0,0
Hospitality,30,Female,South Asia,Lombardia,1.1,Basic,66,0,0,1,0,1,1
Hospitality,32,Male,Latin America,Campania,5.2,Intermediate,60,1,0,1,0,1,0
Domestic Work,41,Male,Sub-Saharan Africa,Emilia-Romagna,0.5,Basic,37,0,0,1,0,1,1
Domestic Work,24,Male,Eastern Europe,Lazio,12.4,Intermediate,58,1,1,1,0,0,0
Agriculture,33,Male,Latin America,Lombardia,0.9,Basic,65,0,0,1,1,1,1
Logistics,39,Male,North Africa,Veneto,8.6,Intermediate,57,1,0,1,0,1,1
Logistics,36,Female,Eastern Europe,Emilia-Romagna,6.6,Intermediate,41,1,0,1,1,1,1
Agriculture,33,Male,Eastern Europe,Calabria,13.8,Basic,67,0,0,1,0,0,1
Domestic Work,40,Male,Sub-Saharan Africa,Emilia-Romagna,2.6,Intermediate,43,0,0,0,0,1,1
Domestic Work,18,Male,Latin America,Veneto,5.2,Fluent,50,0,0,0,0,0,1
Construction,37,Female,Sub-Saharan Africa,Emilia-Romagna,1.9,None,55,0,0,0,0,1,1
Agriculture,26,Male,North Africa,Puglia,0.8,None,72,0,0,1,0,1,0
Hospitality,18,Male,Eastern Europe,Sicilia,2.3,None,53,0,0,1,0,1,1
Hospitality,36,Female,Sub-Saharan Africa,Lazio,0.7,Basic,54,0,0,1,0,0,1
Domestic Work,42,Male,Sub-Saharan Africa,Lazio,16.1,Intermediate,60,1,0,1,0,0,1
Agriculture,30,Male,North Africa,Lazio,0.5,None,54,0,0,1,0,1,0
Hospitality,39,Male,Latin America,Veneto,3.6,Fluent,61,0,0,1,0,0,1
Hospitality,44,Female,Southeast Asia,Toscana,3.9,Basic,53,1,1,0,0,1,1
Agriculture,42,Male,North Africa,Veneto,3.1,Intermediate,51,1,0,1,0,1,1
Hospitality,45,Female,Eastern Europe,Lombardia,4.3,Basic,55,0,0,0,0,1,1
Hospitality,37,Female,Southeast Asia,Toscana,0.5,None,60,0,0,1,0,0,1
Gig Economy,32,Male,South Asia,Piemonte,3.2,Basic,60,0,0,0,0,1,1
Agriculture,19,Male,Sub-Saharan Africa,Lazio,1.4,None,71,0,0,0,0,1,1
Agriculture,30,Male,Eastern Europe,Emilia-Romagna,11.3,Intermediate,57,0,0,0,0,1,1
Hospitality,25,Female,Latin America,Campania,5.7,Intermediate,47,1,1,1,0,1,1
Agriculture,49,Male,Southeast Asia,Sicilia,14.4,Basic,57,1,1,0,1,1,1
Hospitality,30,Male,North Africa,Sicilia,0.5,None,45,1,0,1,0,1,1
Logistics,32,Male,South Asia,Veneto,1.3,None,56,0,0,1,0,1,0
Agriculture,36,Female,North Africa,Toscana,0.9,Basic,57,0,0,1,0,0,0
Agriculture,32,Male,Sub-Saharan Africa,Sicilia,0.5,Basic,65,0,0,1,0,1,1
Construction,45,Female,Sub-Saharan Africa,Veneto,1.1,None,37,0,0,0,0,1,1
Agriculture,27,Male,Latin America,Lazio,4.5,Intermediate,54,0,0,1,0,1,1
Gig Economy,33,Male,South Asia,Piemonte,1.1,None,44,0,0,1,0,1,1
Hospitality,26,Male,Latin America,Lazio,2.8,Intermediate,64,0,0,1,0,0,1
Logistics,21,Male,North Africa,Campania,8.8,Fluent,49,1,0,0,0,0,1
Logistics,27,Male,North Africa,Sicilia,4.7,Intermediate,59,0,0,1,0,1,0
Hospitality,31,Male,South Asia,Toscana,2.0,Fluent,53,1,1,0,0,1,0
Domestic Work,28,Female,Sub-Saharan Africa,Campania,1.9,Intermediate,56,0,0,1,0,0,1
Logistics,26,Female,South Asia,Lazio,2.4,Intermediate,62,0,0,1,0,1,1
Domestic Work,20,Female,Middle East,Campania,0.8,Basic,48,1,0,1,0,0,0
Agriculture,31,Male,Latin America,Lazio,4.0,Basic,55,0,0,1,0,0,0
Construction,19,Male,North Africa,Lombardia,1.8,None,40,0,0,1,1,0,0
Gig Economy,38,Male,Sub-Saharan Africa,Toscana,7.7,Basic,51,0,0,1,0,1,1
Gig Economy,32,Female,Middle East,Lazio,5.7,Intermediate,54,0,0,1,0,1,1
Gig Economy,20,Female,Sub-Saharan Africa,Campania,3.8,Basic,37,0,0,1,0,1,1
Hospitality,29,Male,South Asia,Campania,1.8,None,45,1,0,0,0,0,1
Agriculture,25,Male,North Africa,Calabria,0.9,None,62,0,0,0,1,1,1
Logistics,34,Male,Middle East,Campania,6.0,Basic,60,0,0,1,0,1,1
Hospitality,42,Male,South Asia,Lombardia,2.7,Basic,47,0,0,0,0,0,0
Agriculture,18,Male,Sub-Saharan Africa,Lombardia,1.0,Fluent,55,1,0,1,0,0,0
Hospitality,32,Female,Middle East,Emilia-Romagna,0.9,Basic,40,0,0,1,0,1,1
Domestic Work,30,Female,South Asia,Emilia-Romagna,0.7,Basic,59,0,0,1,0,1,0
Domestic Work,37,Male,South Asia,Campania,6.0,Intermediate,37,1,0,1,0,0,1
Domestic Work,33,Male,North Africa,Campania,1.0,Basic,52,1,0,1,0,1,0
Logistics,25,Female,Southeast Asia,Lombardia,3.0,Basic,57,1,1,1,0,1,1
Hospitality,29,Male,North Africa,Veneto,2.4,Intermediate,65,0,0,0,0,0,1
Domestic Work,25,Male,Middle East,Veneto,3.5,Basic,41,0,0,1,0,0,1
Gig Economy,40,Male,Eastern Europe,Lombardia,8.4,Basic,50,1,0,1,0,0,1
Domestic Work,32,Male,South Asia,Lombardia,8.1,Fluent,34,1,0,1,0,1,1
Domestic Work,47,Male,Middle East,Lombardia,2.4,None,32,0,0,1,0,1,1
Domestic Work,31,Female,North Africa,Lombardia,0.5,None,52,0,0,0,0,0,0
Logistics,26,Male,Sub-Saharan Africa,Emilia-Romagna,2.2,None,43,0,0,1,0,0,1
Logistics,19,Male,North Africa,Lombardia,3.7,None,56,0,0,0,0,1,1
Domestic Work,18,Female,Sub-Saharan Africa,Lazio,3.3,Basic,56,0,0,1,0,1,1
Logistics,19,Male,South Asia,Lombardia,4.2,None,63,0,0,1,1,0,1
Hospitality,34,Female,South Asia,Puglia,0.7,Basic,49,0,0,1,0,1,1
Gig Economy,36,Female,North Africa,Sicilia,4.2,Intermediate,37,0,0,1,0,0,0
Domestic Work,19,Male,Latin America,Lazio,0.8,None,52,0,0,1,0,1,1
Agriculture,39,Female,North Africa,Lazio,5.6,Fluent,70,1,0,1,0,1,1
Gig Economy,28,Male,Middle East,Lazio,1.7,None,44,0,0,1,0,1,1
Hospitality,33,Female,Sub-Saharan Africa,Veneto,5.0,Basic,48,0,0,1,0,1,1
Agriculture,44,Male,Sub-Saharan Africa,Lombardia,0.5,None,55,0,0,1,0,1,1
Domestic Work,39,Female,South Asia,Toscana,2.1,Basic,52,1,1,0,0,1,0
Hospitality,29,Female,South Asia,Veneto,4.9,Basic,64,0,0,1,0,0,1
Gig Economy,24,Male,Sub-Saharan Africa,Sicilia,1.0,Basic,40,0,0,1,0,1,1
Domestic Work,18,Male,Latin America,Lombardia,6.3,Fluent,36,0,0,1,0,1,0
Agriculture,26,Female,Southeast Asia,Piemonte,4.0,Intermediate,78,0,0,1,0,1,1
Agriculture,30,Female,Middle East,Piemonte,3.5,Intermediate,58,0,0,0,0,1,1
Agriculture,24,Male,Sub-Saharan Africa,Lombardia,1.7,Fluent,62,0,0,0,1,0,0
Logistics,30,Female,Southeast Asia,Campania,2.6,None,52,0,0,1,0,0,1
Logistics,32,Male,Sub-Saharan Africa,Lombardia,3.6,Basic,61,0,0,1,0,1,1
Construction,30,Male,South Asia,Lazio,2.6,Intermediate,62,1,0,1,0,0,0
Construction,26,Male,Southeast Asia,Lazio,4.8,Intermediate,57,1,0,1,1,0,0
Domestic Work,33,Male,Eastern Europe,Veneto,2.3,None,61,0,0,0,0,1,1
Domestic Work,35,Female,South Asia,Campania,0.9,None,45,0,0,0,0,0,1
Gig Economy,23,Male,North Africa,Puglia,1.0,Basic,47,0,0,1,0,0,0
Gig Economy,43,Female,Sub-Saharan Africa,Lombardia,0.5,None,51,0,0,1,0,1,1
Construction,31,Male,Eastern Europe,Calabria,1.4,None,58,0,0,0,1,1,1
Agriculture,32,Male,North Africa,Lazio,5.5,Fluent,61,1,1,0,0,0,1
Agriculture,37,Male,Middle East,Piemonte,6.3,Fluent,49,0,0,0,1,0,1
Construction,33,Male,South Asia,Lazio,0.9,None,57,0,0,1,0,1,1
Domestic Work,39,Male,Sub-Saharan Africa,Lombardia,12.8,Intermediate,45,0,0,1,0,0,0
Logistics,34,Male,North Africa,Sicilia,2.8,Intermediate,53,0,0,1,0,0,0
Logistics,27,Male,North Africa,Lazio,10.0,Basic,58,0,0,1,0,0,0
Hospitality,34,Male,Sub-Saharan Africa,Emilia-Romagna,4.9,Basic,47,0,0,1,0,1,1
Gig Economy,22,Male,Eastern Europe,Veneto,5.1,Intermediate,40,0,0,0,0,1,1
Hospitality,32,Male,Southeast Asia,Veneto,0.5,Basic,34,0,0,1,0,1,1
Gig Economy,31,Female,Middle East,Veneto,1.0,None,63,0,0,1,0,1,1
Gig Economy,30,Female,Latin America,Toscana,0.5,Fluent,54,0,0,1,0,0,1
Logistics,30,Male,Southeast Asia,Lombardia,5.0,Basic,57,1,0,1,1,1,1
Gig Economy,18,Male,North Africa,Emilia-Romagna,1.7,Basic,44,1,1,0,0,0,0
Hospitality,27,Male,Latin America,Sicilia,6.2,Basic,31,0,0,1,0,0,1
Hospitality,32,Female,Sub-Saharan Africa,Lombardia,1.7,None,49,0,0,1,0,0,1
Construction,33,Male,Sub-Saharan Africa,Lombardia,6.8,Fluent,60,1,0,0,0,0,1
Logistics,23,Male,Sub-Saharan Africa,Toscana,0.6,Intermediate,65,0,0,0,0,0,1
Hospitality,42,Male,North Africa,Campania,0.8,None,60,0,0,1,0,1,1
Gig Economy,25,Male,Sub-Saharan Africa,Campania,1.7,Fluent,51,0,0,1,0,0,1
Construction,39,Male,Middle East,Lombardia,2.1,Intermediate,65,0,0,1,0,0,1
Hospitality,35,Female,Sub-Saharan Africa,Veneto,1.7,Basic,52,0,0,1,0,1,1
Agriculture,26,Male,South Asia,Lombardia,5.8,Intermediate,68,0,0,1,0,1,1
Hospitality,46,Female,North Africa,Veneto,0.5,None,51,1,0,0,0,1,1
